,Account,Yearmonthhour,Post,Treatment,PostTreatment,Avg_Metered_Amount
139,46189001,20171218,0,1,0,134.592
140,46189001,20171219,0,1,0,116.224
141,46189001,20171220,0,1,0,114.496
142,46189001,20171221,0,1,0,146.432
143,46189001,20171222,0,1,0,89.344
144,46189001,20171223,0,1,0,41.92
145,46189001,20180100,0,1,0,68.352
146,46189001,20180101,0,1,0,95.616
147,46189001,20180102,0,1,0,90.368
148,46189001,20180103,0,1,0,110.016
149,46189001,20180104,0,1,0,104.896
150,46189001,20180105,0,1,0,326.848
151,46189001,20180106,0,1,0,288.32
152,46189001,20180107,0,1,0,241.472
153,46189001,20180108,0,1,0,120.128
154,46189001,20180109,0,1,0,110.208
155,46189001,20180110,0,1,0,104.96
156,46189001,20180111,0,1,0,98.24
157,46189001,20180112,0,1,0,82.816
158,46189001,20180113,0,1,0,81.984
159,46189001,20180114,0,1,0,77.632
160,46189001,20180115,0,1,0,85.184
161,46189001,20180116,0,1,0,85.76
162,46189001,20180117,0,1,0,255.552
163,46189001,20180118,0,1,0,167.552
164,46189001,20180119,0,1,0,140.864
165,46189001,20180120,0,1,0,138.112
166,46189001,20180121,0,1,0,174.976
167,46189001,20180122,0,1,0,115.52
168,46189001,20180123,0,1,0,52.992
169,46189001,20180200,0,1,0,13.312
170,46189001,20180201,0,1,0,12.032
171,46189001,20180202,0,1,0,15.424
172,46189001,20180203,0,1,0,21.056
173,46189001,20180204,0,1,0,30.08
174,46189001,20180205,0,1,0,117.12
175,46189001,20180206,0,1,0,116.544
176,46189001,20180207,0,1,0,101.632
177,46189001,20180208,0,1,0,46.144
178,46189001,20180209,0,1,0,41.984
179,46189001,20180210,0,1,0,40.448
180,46189001,20180211,0,1,0,32.832
181,46189001,20180212,0,1,0,31.296
182,46189001,20180213,0,1,0,33.856
183,46189001,20180214,0,1,0,27.904
184,46189001,20180215,0,1,0,34.24
185,46189001,20180216,0,1,0,41.536
186,46189001,20180217,0,1,0,100.032
187,46189001,20180218,0,1,0,93.184
188,46189001,20180219,0,1,0,58.048
189,46189001,20180220,0,1,0,66.24
190,46189001,20180221,0,1,0,85.312
191,46189001,20180222,0,1,0,68.8
192,46189001,20180223,0,1,0,25.92
193,46189001,20180400,1,1,1,15.936
194,46189001,20180401,1,1,1,18.048
195,46189001,20180402,1,1,1,11.264
196,46189001,20180403,1,1,1,15.36
197,46189001,20180404,1,1,1,15.68
198,46189001,20180405,1,1,1,14.976
199,46189001,20180406,1,1,1,103.168
200,46189001,20180407,1,1,1,117.504
201,46189001,20180408,1,1,1,66.368
202,46189001,20180409,1,1,1,22.976
203,46189001,20180410,1,1,1,21.376
204,46189001,20180411,1,1,1,19.584
205,46189001,20180412,1,1,1,19.072
206,46189001,20180413,1,1,1,16.064
207,46189001,20180414,1,1,1,19.648
208,46189001,20180415,1,1,1,18.816
209,46189001,20180416,1,1,1,25.024
210,46189001,20180417,1,1,1,36.672
211,46189001,20180418,1,1,1,56.32
212,46189001,20180419,1,1,1,38.4
213,46189001,20180420,1,1,1,59.776
214,46189001,20180421,1,1,1,88.96
215,46189001,20180422,1,1,1,77.44
216,46189001,20180423,1,1,1,24
217,46189001,20180500,1,1,1,44.8
218,46189001,20180501,1,1,1,43.84
219,46189001,20180502,1,1,1,22.272
220,46189001,20180503,1,1,1,22.464
221,46189001,20180504,1,1,1,19.712
222,46189001,20180505,1,1,1,25.408
223,46189001,20180506,1,1,1,110.656
224,46189001,20180507,1,1,1,90.688
225,46189001,20180508,1,1,1,46.144
226,46189001,20180509,1,1,1,35.456
227,46189001,20180510,1,1,1,36.032
228,46189001,20180511,1,1,1,37.824
229,46189001,20180512,1,1,1,39.296
230,46189001,20180513,1,1,1,46.144
231,46189001,20180514,1,1,1,43.712
232,46189001,20180515,1,1,1,49.984
233,46189001,20180516,1,1,1,48.256
234,46189001,20180517,1,1,1,93.824
235,46189001,20180518,1,1,1,133.632
236,46189001,20180519,1,1,1,84.48
237,46189001,20180520,1,1,1,77.76
238,46189001,20180521,1,1,1,138.944
239,46189001,20180522,1,1,1,101.312
240,46189001,20180523,1,1,1,49.984
241,46189001,20180600,1,1,1,49.6
242,46189001,20180601,1,1,1,52.352
243,46189001,20180602,1,1,1,35.84
244,46189001,20180603,1,1,1,30.208
245,46189001,20180604,1,1,1,25.344
246,46189001,20180605,1,1,1,19.456
247,46189001,20180606,1,1,1,85.568
248,46189001,20180607,1,1,1,93.312
249,46189001,20180608,1,1,1,37.312
250,46189001,20180609,1,1,1,31.104
251,46189001,20180610,1,1,1,33.664
252,46189001,20180611,1,1,1,30.016
253,46189001,20180612,1,1,1,29.76
254,46189001,20180613,1,1,1,35.52
255,46189001,20180614,1,1,1,47.232
256,46189001,20180615,1,1,1,30.976
257,46189001,20180616,1,1,1,40.448
258,46189001,20180617,1,1,1,73.216
259,46189001,20180618,1,1,1,149.888
260,46189001,20180619,1,1,1,92.544
261,46189001,20180620,1,1,1,79.744
262,46189001,20180621,1,1,1,141.888
263,46189001,20180622,1,1,1,111.872
264,46189001,20180623,1,1,1,39.936
265,46189001,20180700,1,1,1,52.48
266,46189001,20180701,1,1,1,61.76
267,46189001,20180702,1,1,1,43.904
268,46189001,20180703,1,1,1,33.472
269,46189001,20180704,1,1,1,35.456
270,46189001,20180705,1,1,1,20.48
271,46189001,20180706,1,1,1,67.392
272,46189001,20180707,1,1,1,93.184
273,46189001,20180708,1,1,1,43.456
274,46189001,20180709,1,1,1,30.528
275,46189001,20180710,1,1,1,47.232
276,46189001,20180711,1,1,1,45.184
277,46189001,20180712,1,1,1,46.208
278,46189001,20180713,1,1,1,58.112
279,46189001,20180714,1,1,1,57.92
280,46189001,20180715,1,1,1,50.624
281,46189001,20180716,1,1,1,61.824
282,46189001,20180717,1,1,1,88.384
283,46189001,20180718,1,1,1,153.856
284,46189001,20180719,1,1,1,96.448
285,46189001,20180720,1,1,1,78.272
286,46189001,20180721,1,1,1,165.184
287,46189001,20180722,1,1,1,123.712
288,46189001,20180723,1,1,1,57.152
